name,code
Bitcoin USD,BTC-USD
Ripple USD,XRP-USD
Ethereum USD,ETH-USD
Bitcoin Cash / BCC USD,BCH-USD
Stellar USD,XLM-USD
EOS USD,EOS-USD
Litecoin USD,LTC-USD
Tether USD,USDT-USD
Cardano USD,ADA-USD
Monero USD,XMR-USD
Binance Coin USD,BNB-USD
Tronix USD,TRX-USD
DigitalCash USD,DASH-USD
IOTA USD,IOT-USD
NEM USD,XEM-USD
Vechain USD,VEN-USD
NEO USD,NEO-USD
Ethereum Classic USD,ETC-USD
ZCash USD,ZEC-USD
0x USD,ZRX-USD
Bitcoin Gold USD,BTG-USD
ChainLink USD,LINK-USD
Nano USD,XRB-USD
Dogecoin USD,DOGE-USD
Basic Attention Token USD,BAT-USD
OmiseGo USD,OMG-USD
QTUM USD,QTUM-USD
Quoine Liquid USD,QASH-USD
Decred USD,DCR-USD
Lisk USD,LSK-USD
Aeternity USD,AE-USD
DigiByte USD,DGB-USD
Status Network Token USD,SNT-USD
Bitshares USD,BTS-USD
Gnosis USD,GNO-USD
Waves USD,WAVES-USD
ICON Project USD,ICX-USD
Siacoin USD,SC-USD
Populous USD,PPT-USD
Augur USD,REP-USD
Waltonchain USD,WTC-USD
Golem Network Token USD,GNT-USD
Factoids USD,FCT-USD
Stratis USD,STRAT-USD
FunFair USD,FUN-USD
MaidSafe Coin USD,MAID-USD
Monaco USD,MCO-USD
Komodo USD,KMD-USD
Storj USD,STORJ-USD
Loopring USD,LRC-USD
Civic USD,CVC-USD
Exchange Union USD,XUC-USD
Ardor USD,ARDR-USD
Metaverse USD,ETP-USD
TenX USD,PAY-USD
Bancor Network Token USD,BNT-USD
MonaCoin USD,MONA-USD
ARK USD,ARK-USD
Veritaseum USD,VERI-USD
MobileGo USD,MGO-USD
Hshare USD,HSR-USD
Kyber Network USD,KNC-USD
Digix DAO USD,DGD-USD
Steem USD,STEEM-USD
ZCoin USD,XZC-USD
ZenCash USD,ZEN-USD
Nxt USD,NXT-USD
SmartCash USD,SMART-USD
Dentacoin USD,DCN-USD
Salt Lending USD,SALT-USD
Substratum Network USD,SUB-USD
Gas USD,GAS-USD
iExec USD,RLC-USD
Kin USD,KIN-USD
Iconomi USD,ICN-USD
Metal USD,MTL-USD
Byteball USD,GBYTE-USD
Nexus USD,NXS-USD
Aragon USD,ANT-USD
Neblio USD,NEBL-USD
Quantum Resistant Ledger USD,QRL-USD
VertCoin USD,VTC-USD
SingularDTV USD,SNGLS-USD
BitcoinDark USD,BTCD-USD
district0x USD,DNT-USD
SONM USD,SNM-USD
NavCoin USD,NAV-USD
BitConnect Coin USD,BCCOIN-USD
Ubiq USD,UBQ-USD
Edgeless USD,EDG-USD
BlockNet USD,BLOCK-USD
Wings DAO USD,WINGS-USD
FairCoin USD,FAIR-USD
Lykke USD,LKK-USD
CounterParty USD,XCP-USD
Melon USD,MLN-USD
Gamecredits USD,GAME-USD
Bitquence USD,BQX-USD
IOCoin USD,IOC-USD
Token as a Service USD,TAAS-USD
